,label,tweet,length,tweet_list
0,0,"RT @seungweo: OP meet seungwoo, hangyul, and yuvin at starbucks and got their sign!!🤗 ",86,"['RT', 'seungweo', 'OP', 'meet', 'seungwoo', 'hangyul', 'yuvin', 'starbucks', 'get', 'sign']"
1,0,"@WE_THE_BOYZ but first, starbucks he said",41,"['WE_THE_BOYZ', 'first', 'starbucks', 'say']"
2,0,Moonpies are okay... but I like Starbucks more.,47,"['Moonpies', 'okay', 'like', 'Starbucks']"
3,1,RT @that1mum: Was just woken up to a call from my child at school asking me to please bring her hot sauce cause she needs it for a presenta…,140,"['RT', 'wake', 'call', 'child', 'school', 'ask', 'please', 'bring', 'hot', 'sauce', 'cause', 'need']"
4,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
5,0,@WE_THE_BOYZ I was waiting for you to actually post a starbucks cup not gonna lie HAHAHA,88,"['WE_THE_BOYZ', 'wait', 'actually', 'post', 'starbucks', 'cup', 'gon', 'na', 'lie', 'HAHAHA']"
6,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
7,0,"@WE_THE_BOYZ Why is this me??? Finding the closest Starbucks in any place i go 😂😂

Enjoy Europe, love. I can’t wait… https://t.co/MOuLD8IuL7",140,"['WE_THE_BOYZ', 'Finding', 'closest', 'Starbucks', 'place', 'go', 'Enjoy', 'Europe', 'love', 'https']"
8,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
9,0,@WE_THE_BOYZ Aka starbucks,26,"['WE_THE_BOYZ', 'Aka', 'starbucks']"
10,1,RT @lgbtqnation: Starbucks fired a trans manager after a cop complained on Facebook about her employee  https://t.co/EHUXmH3pRX,127,"['RT', 'lgbtqnation', 'Starbucks', 'fire', 'trans', 'manager', 'cop', 'complain', 'Facebook', 'employee', 'https']"
11,0,kevin starbucks boi,19,"['kevin', 'starbucks', 'boi']"
12,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
13,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
14,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
15,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
16,0,"RT @ChrisIsaak: ""San Francisco Days"" and ""5:15"" have been added to @Starbucks Coffeehouse playlist on @spotify! Take a listen and also hear…",140,"['RT', 'ChrisIsaak', 'San', 'Francisco', 'Days', 'add', 'Starbucks', 'Coffeehouse', 'playlist', 'spotify', 'Take', 'listen', 'also']"
17,0,If Kevin comes down to Australia imma give him my Starbucks card to get me some points for some free drinks HAHAHAHA,116,"['Kevin', 'come', 'Australia', 'imma', 'give', 'Starbucks', 'card', 'get', 'point', 'free', 'drink', 'HAHAHAHA']"
18,0,Guess whose getting a hot caramel macchiato from Starbucks in the morning 🙈,75,"['Guess', 'whose', 'get', 'hot', 'caramel', 'macchiato', 'Starbucks', 'morning']"
19,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
20,1,Just don't take her to starbucks if you never been there at the first place.,76,"['take', 'starbucks', 'never', 'first', 'place']"
21,1,"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",140,"['RT', 'argumentwinner', 'anybody', 'ever', 'doubt', 'turn', 'absolutely', 'right', 'plot', 'get', 'someone']"
