tweet,label,Id
"RT @seungweo: OP meet seungwoo, hangyul, and yuvin at starbucks and got their sign!!🤗 ",0,1
"@WE_THE_BOYZ but first, starbucks he said",0,2
Moonpies are okay... but I like Starbucks more.,0,3
RT @that1mum: Was just woken up to a call from my child at school asking me to please bring her hot sauce cause she needs it for a presenta…,1,4
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,5
@WE_THE_BOYZ I was waiting for you to actually post a starbucks cup not gonna lie HAHAHA,0,6
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,7
"@WE_THE_BOYZ Why is this me??? Finding the closest Starbucks in any place i go 😂😂

Enjoy Europe, love. I can’t wait… https://t.co/MOuLD8IuL7",0,8
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,9
@WE_THE_BOYZ Aka starbucks,0,10
RT @lgbtqnation: Starbucks fired a trans manager after a cop complained on Facebook about her employee  https://t.co/EHUXmH3pRX,1,11
kevin starbucks boi,0,12
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,13
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,14
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,15
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,16
"RT @ChrisIsaak: ""San Francisco Days"" and ""5:15"" have been added to @Starbucks Coffeehouse playlist on @spotify! Take a listen and also hear…",0,17
If Kevin comes down to Australia imma give him my Starbucks card to get me some points for some free drinks HAHAHAHA,0,18
Guess whose getting a hot caramel macchiato from Starbucks in the morning 🙈,0,19
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,20
Just don't take her to starbucks if you never been there at the first place.,1,21
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,22
You literally had someone walk up to you to give you his number so you won,0,23
"I'm at Starbucks in Kuwait City, KUWAIT https://t.co/odf6JON88O",0,24
@JChapman1729 And yet the dude at Starbucks would still spell your name wrong.,1,25
"@WE_THE_BOYZ yikeees! Kevs, the new endorser for Starbucks 😁",0,26
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,27
"@WE_THE_BOYZ green mermaid aka starbucks, okay 🤣😂",0,28
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,29
@Crmblu I’M IN A PUBLIC STARBUCKS PLEASE GIVE ME AN HOUR,1,30
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,31
"RT @sayajualrumah: MRT Station : 5 min walking distance.

Amenities Nearby :
AEON Shopping Mall, Giant, Jusco, Speedmart, Pasar Borong Sela…",0,32
My natal chart report says this and this is mfing true because I always scout while my goal is to save.. Or when I… https://t.co/fGnTikam5n,1,33
RT @aaliyahrndz: Buying me Starbucks will go a long way lmao,0,34
"I'm at Starbucks KL Eco City in Kuala Lumpur, KL https://t.co/6AP5C0n12e",0,35
"@WE_THE_BOYZ You 🤝 me
Starbucks",0,36
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,37
New coffee shop aiming to launch here. Opening right next door to Starbucks. And over the road from Costa. And thir… https://t.co/ktEkopFLYF,0,38
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,39
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,40
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,41
@WE_THE_BOYZ I might not be a Starbucks barista but I still work at a coffee shop 😪✊🏻,1,42
@SlimJim496 loves them 🤢,0,43
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,44
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,45
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,46
"RT @Ninja: The girls at the Starbucks drive through asked for my name, I said Tyler. Pulled up and saw them talking and smiling and they wr…",1,47
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,48
